Date,Values,00:00,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
01/01/2023,96,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2023,96,0.0,0.0,0.0,0.0,0.0,0.0,33.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,nan,0.0,0.0,33.0,0.0,0.0,22.0,0.0,0.0,0.0,121.0,44.0,33.0,22.0,44.0,132.0,77.0,44.0,33.0,33.0,44.0,22.0,33.0,33.0,33.0,22.0,33.0,33.0,33.0,33.0,22.0,22.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,11.0,22.0,11.0,11.0,22.0,11.0,22.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/01/2023,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,99.0,55.0,198.0,187.0,275.0,341.0,275.0,286.0,275.0,275.0,253.0,253.0,253.0,253.0,253.0,253.0,154.0,187.0,242.0,242.0,220.0,143.0,165.0,220.0,165.0,154.0,198.0,121.0,132.0,209.0,132.0,143.0,132.0,154.0,154.0,143.0,88.0,88.0,99.0,88.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/01/2023,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,44.0,165.0,110.0,286.0,264.0,264.0,264.0,198.0,198.0,220.0,242.0,143.0,220.0,143.0,187.0,198.0,132.0,121.0,143.0,198.0,132.0,154.0,154.0,187.0,132.0,154.0,154.0,198.0,143.0,143.0,165.0,143.0,132.0,176.0,143.0,77.0,88.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05/01/2023,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,77.0,44.0,165.0,110.0,286.0,198.0,220.0,198.0,165.0,198.0,143.0,143.0,187.0,154.0,132.0,198.0,176.0,110.0,165.0,165.0,154.0,132.0,154.0,132.0,121.0,121.0,99.0,132.0,132.0,88.0,132.0,121.0,121.0,132.0,110.0,132.0,77.0,77.0,121.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/01/2023,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,44.0,231.0,187.0,286.0,286.0,275.0,253.0,253.0,231.0,242.0,66.0,44.0,55.0,55.0,33.0,44.0,55.0,22.0,44.0,33.0,44.0,33.0,22.0,33.0,33.0,33.0,33.0,22.0,33.0,33.0,44.0,11.0,22.0,99.0,88.0,242.0,187.0,132.0,121.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/01/2023,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0
08/01/2023,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09/01/2023,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,33.0,264.0,143.0,341.0,363.0,297.0,297.0,264.0,275.0,253.0,264.0,242.0,253.0,253.0,242.0,231.0,231.0,220.0,242.0,198.0,242.0,220.0,220.0,209.0,209.0,231.0,198.0,187.0,198.0,198.0,209.0,176.0,176.0,165.0,121.0,143.0,132.0,110.0,110.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/01/2023,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,33.0,165.0,209.0,253.0,198.0,220.0,187.0,176.0,165.0,143.0,154.0,154.0,143.0,143.0,132.0,132.0,132.0,143.0,121.0,110.0,121.0,121.0,110.0,110.0,110.0,99.0,110.0,121.0,110.0,110.0,99.0,110.0,88.0,99.0,121.0,77.0,99.0,99.0,88.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/01/2023,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,33.0,220.0,121.0,319.0,308.0,264.0,275.0,253.0,242.0,198.0,220.0,231.0,209.0,220.0,231.0,220.0,220.0,220.0,220.0,198.0,198.0,209.0,209.0,176.0,209.0,165.0,220.0,220.0,198.0,198.0,165.0,187.0,176.0,165.0,176.0,121.0,176.0,121.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12/01/2023,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,33.0,132.0,110.0,286.0,242.0,242.0,220.0,209.0,220.0,220.0,165.0,209.0,209.0,154.0,187.0,187.0,198.0,165.0,220.0,154.0,209.0,176.0,154.0,187.0,176.0,220.0,143.0,209.0,165.0,187.0,220.0,209.0,165.0,143.0,154.0,88.0,99.0,110.0,99.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13/01/2023,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,44.0,220.0,143.0,286.0,308.0,231.0,264.0,231.0,209.0,231.0,231.0,220.0,209.0,209.0,198.0,198.0,198.0,187.0,187.0,176.0,176.0,176.0,165.0,165.0,154.0,154.0,154.0,154.0,165.0,165.0,154.0,154.0,132.0,154.0,143.0,88.0,99.0,110.0,88.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/01/2023,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0
15/01/2023,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16/01/2023,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,nan,11.0,11.0,22.0,11.0,462.0,462.0,198.0,198.0,187.0,209.0,176.0,220.0,275.0,308.0,319.0,308.0,330.0,286.0,308.0,308.0,286.0,286.0,275.0,275.0,275.0,253.0,275.0,220.0,275.0,264.0,275.0,253.0,264.0,264.0,275.0,253.0,253.0,253.0,242.0,231.0,209.0,209.0,209.0,143.0,143.0,154.0,143.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,44.0,22.0,22.0,11.0,22.0,11.0,22.0,0.0,11.0,33.0,22.0,11.0,33.0
17/01/2023,96,33.0,22.0,22.0,22.0,33.0,33.0,11.0,33.0,22.0,33.0,33.0,11.0,33.0,33.0,22.0,44.0,22.0,33.0,22.0,33.0,11.0,22.0,44.0,33.0,22.0,22.0,33.0,22.0,33.0,154.0,132.0,385.0,187.0,264.0,231.0,297.0,275.0,253.0,264.0,253.0,242.0,253.0,253.0,242.0,231.0,231.0,242.0,231.0,242.0,231.0,231.0,220.0,231.0,220.0,231.0,231.0,220.0,231.0,220.0,220.0,220.0,176.0,165.0,176.0,176.0,99.0,110.0,110.0,110.0,33.0,88.0,44.0,33.0,33.0,22.0,33.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,22.0,11.0,11.0
18/01/2023,96,11.0,22.0,11.0,11.0,11.0,11.0,22.0,22.0,0.0,22.0,11.0,11.0,22.0,0.0,22.0,11.0,22.0,11.0,0.0,22.0,11.0,nan,11.0,11.0,11.0,22.0,11.0,11.0,22.0,110.0,110.0,352.0,154.0,297.0,319.0,275.0,286.0,253.0,264.0,242.0,242.0,242.0,242.0,209.0,231.0,242.0,220.0,231.0,231.0,220.0,231.0,231.0,220.0,220.0,220.0,231.0,209.0,220.0,198.0,209.0,209.0,176.0,176.0,176.0,165.0,121.0,99.0,99.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19/01/2023,96,0.0,0.0,22.0,22.0,11.0,11.0,11.0,11.0,22.0,0.0,22.0,11.0,11.0,11.0,11.0,11.0,22.0,11.0,11.0,11.0,11.0,22.0,nan,11.0,99.0,143.0,55.0,33.0,11.0,132.0,286.0,330.0,187.0,264.0,242.0,275.0,286.0,253.0,253.0,242.0,242.0,242.0,220.0,242.0,209.0,231.0,220.0,209.0,231.0,253.0,242.0,242.0,242.0,242.0,231.0,242.0,242.0,220.0,231.0,231.0,220.0,187.0,209.0,187.0,198.0,121.0,143.0,132.0,132.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,88.0,33.0,11.0,22.0,22.0,22.0
20/01/2023,96,22.0,0.0,22.0,11.0,11.0,11.0,11.0,11.0,11.0,22.0,0.0,22.0,11.0,11.0,22.0,11.0,11.0,11.0,11.0,22.0,22.0,0.0,nan,11.0,22.0,0.0,22.0,66.0,110.0,176.0,132.0,385.0,154.0,264.0,242.0,264.0,297.0,275.0,275.0,264.0,253.0,275.0,253.0,242.0,220.0,242.0,231.0,220.0,209.0,220.0,209.0,198.0,209.0,209.0,209.0,198.0,198.0,198.0,154.0,198.0,209.0,176.0,165.0,187.0,165.0,132.0,176.0,176.0,165.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21/01/2023,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,22.0,44.0,22.0,22.0,22.0,11.0,11.0,11.0,22.0,11.0,11.0,11.0,11.0,11.0,11.0,0.0,22.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,22.0,11.0,11.0,11.0,11.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22/01/2023,96,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,33.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
23/01/2023,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,264.0,121.0,176.0,132.0,176.0,132.0,308.0,275.0,231.0,231.0,209.0,187.0,187.0,187.0,143.0,165.0,154.0,154.0,143.0,143.0,132.0,143.0,154.0,165.0,110.0,154.0,121.0,110.0,110.0,110.0,121.0,110.0,165.0,143.0,132.0,121.0,121.0,121.0,77.0,88.0,99.0,77.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/01/2023,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,44.0,187.0,110.0,308.0,286.0,275.0,242.0,220.0,198.0,165.0,187.0,187.0,165.0,154.0,154.0,154.0,99.0,143.0,154.0,121.0,143.0,132.0,143.0,132.0,132.0,110.0,132.0,132.0,121.0,132.0,132.0,110.0,110.0,99.0,99.0,66.0,77.0,77.0,77.0,0.0,0.0,33.0,22.0,11.0,0.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25/01/2023,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,22.0,165.0,121.0,308.0,220.0,198.0,220.0,187.0,187.0,165.0,132.0,165.0,176.0,154.0,143.0,143.0,143.0,154.0,154.0,154.0,154.0,154.0,132.0,143.0,143.0,143.0,132.0,121.0,154.0,132.0,132.0,110.0,132.0,121.0,132.0,88.0,88.0,99.0,88.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/01/2023,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,33.0,231.0,121.0,341.0,264.0,308.0,275.0,264.0,242.0,231.0,209.0,209.0,209.0,209.0,198.0,209.0,198.0,176.0,176.0,176.0,165.0,165.0,154.0,165.0,165.0,143.0,176.0,165.0,143.0,154.0,143.0,121.0,132.0,132.0,143.0,88.0,88.0,99.0,99.0,11.0,66.0,44.0,22.0,11.0,22.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/01/2023,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,22.0,231.0,143.0,363.0,319.0,286.0,275.0,253.0,231.0,264.0,231.0,165.0,220.0,187.0,198.0,220.0,220.0,187.0,176.0,187.0,187.0,176.0,176.0,165.0,176.0,176.0,176.0,165.0,165.0,154.0,165.0,143.0,132.0,143.0,121.0,88.0,88.0,99.0,99.0,0.0,0.0,0.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/01/2023,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,44.0,33.0,22.0,11.0,22.0,11.0,11.0,22.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,0.0,11.0,11.0,22.0,11.0,11.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0
29/01/2023,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,11.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30/01/2023,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,22.0,55.0,55.0,66.0,77.0,55.0,132.0,319.0,297.0,363.0,253.0,297.0,231.0,198.0,198.0,198.0,198.0,154.0,198.0,176.0,176.0,176.0,165.0,165.0,176.0,176.0,154.0,165.0,154.0,132.0,154.0,143.0,132.0,99.0,132.0,121.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31/01/2023,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,22.0,220.0,132.0,286.0,275.0,231.0,231.0,209.0,209.0,198.0,209.0,198.0,187.0,198.0,176.0,187.0,176.0,187.0,176.0,176.0,176.0,165.0,176.0,165.0,154.0,165.0,154.0,176.0,154.0,165.0,154.0,132.0,143.0,165.0,121.0,88.0,143.0,132.0,143.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/02/2023,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,33.0,220.0,132.0,264.0,143.0,143.0,143.0,88.0,66.0,55.0,55.0,66.0,209.0,220.0,220.0,220.0,132.0,220.0,187.0,187.0,187.0,176.0,165.0,165.0,143.0,154.0,143.0,154.0,143.0,143.0,143.0,121.0,110.0,121.0,121.0,77.0,77.0,88.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/02/2023,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,22.0,165.0,121.0,286.0,242.0,198.0,209.0,187.0,176.0,165.0,176.0,165.0,165.0,143.0,154.0,154.0,154.0,143.0,154.0,132.0,154.0,132.0,143.0,143.0,132.0,121.0,132.0,154.0,143.0,143.0,143.0,121.0,110.0,110.0,99.0,77.0,88.0,66.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/02/2023,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,22.0,154.0,110.0,253.0,231.0,176.0,187.0,187.0,165.0,165.0,143.0,110.0,132.0,132.0,132.0,132.0,121.0,121.0,121.0,121.0,121.0,99.0,99.0,88.0,88.0,99.0,99.0,88.0,88.0,99.0,88.0,88.0,77.0,88.0,99.0,55.0,55.0,44.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
